name,status,review_date,slides,trainer_notes,review_status,
Prep for Synoptic Project,,,,,
Agile vs Waterfall,,,,,
Images in Evidence,,,,,
Synoptic Project - ECommerce,,,,,
Intro to Testing,,,,,
React Workshop - Day 1,,,,,
React Workshop - Day 2,,,,,
Synoptic Project - CRUD,,,,,
Presentation Skills,,,,,
Testing for Evidence,,,,,
Interview Prep,,,,,
Atomic Design,,,,,
Object Oriented Programming,,,,,
Performance,,,,,
Debugging,,,,,
Functional Programming,,,,,
Dependancy Managers,,,,,
Accessibility,,,,,
Communication,,,,,
Project Planning - Impact,,,,,
User Centred Design,,,,,
Object Mapping,,,,,
,,2022-05-20 to 2022-06-24,,,
,,,,,
Group Title,,,,,
Name,Status,Date,Slides,Lesson Plan,Review Status
,,,,,
Drafting / Updating,,,,,
Name,Status,Date,Slides,Lesson Plan,Review Status
,,,,,
Review,,,,,
Name,Status,Date,Slides,Lesson Plan,Review Status
,,,,,
AOK,,,,,
Name,Status,Date,Slides,Lesson Plan,Review Status
